Kdeltat,
X,Y
0.0058358021366370465,0.04825486848337324
0.011915791363677177,0.09548552371297592
0.017995780590717308,0.14404977263873464
0.02407576981775744,0.1937253496446243
0.02986623574827185,0.24228434406409427
0.03565670167878626,0.29217693217972074
0.04144716760930067,0.34406991083958216
0.04694811024328936,0.3942535986036211
0.05215952958075233,0.44299965344698067
0.0573709489182153,0.49495621163293924
0.06229284495915255,0.5446539889278998
0.06692521770356408,0.5930808325142006
0.0715575904479756,0.6428968362006645
0.07590043989586141,0.6912390447035242
0.0799537660472215,0.7386234317742684
0.08400709219858159,0.7863253411536215
0.08806041834994167,0.8356148620760182
0.09211374450130176,0.8874445614672846
0.09696325971810757,0.9469925649957989
0.10297086812101627,1.0430326132541623
0.10803752581021639,1.1032782864737278
0.11151180536852504,1.154091989541822
0.11498608492683368,1.2063874633834233
0.1181708411886166,1.2523060683926541
