b,
X,Y
1.648986569449633,0.9650243538445319
5.359141831645104,0.9579282016165613
9.069007141172541,0.9499742727456493
12.778898810033436,0.94209832356955
16.48879047889433,0.9342223743934509
20.19844491375411,0.9256446079640359
23.90767759927855,0.9158191664176152
27.61654125413459,0.9049020091438142
31.324719566320724,0.891957379804879
35.03213345783657,0.8767513393163706
38.57028879735276,0.8600480886874554
41.7705543850059,0.8422063345142723
44.63325707653088,0.8241930250125009
47.32684487442353,0.8051074947070526
49.85149382137516,0.7854705365597133
52.03898649629738,0.7668649527092443
54.05778194750195,0.7484227548860021
55.907950592065376,0.7303522602747012
57.58927013294219,0.7119958401157532
59.27047369275178,0.6932963092996286
60.951445290426946,0.6739105571691508
62.63177899223243,0.6526376964242018
64.14395464421011,0.6331232777972827
65.48759530789152,0.6142521916525698
66.83109099523894,0.5949522171863861
68.17444170625234,0.5752233543987317
69.43457600153924,0.5589255981828434
