Kit,
X,Y
0.0003044715886570768,0.011099725279273498
0.0037077072748891923,0.058146353999507294
0.006507404604907577,0.10858079518900077
0.009307101934925958,0.15865742783103065
0.011166360393470978,0.18971498541950382
0.013025618852016002,0.2204147344605133
0.014884877310561023,0.25004105785913144
0.016976543076424176,0.28244931467285805
0.019300616149605453,0.31670920267828717
0.02162468922278673,0.3501103501698032
0.023948762295968012,0.3829390039853774
0.02627283536914929,0.41433642361109657
0.028596908442330565,0.4445888558849319
0.031153388822829975,0.4762635490935133
0.033942276510647504,0.5107440296203672
0.03673116419846504,0.5428391198307964
0.039520051886282576,0.573741514883013
0.04254134688141824,0.6060661708699758
0.045795049183872026,0.6386544696379926
0.049048751486325814,0.6702204582703988
0.052534861096097736,0.701573011620574
0.056253378013187784,0.7332744002631042
0.06020430223759595,0.765205354682168
0.06438763376932224,0.7963719622459218
0.06880337260836669,0.8273228627271433
0.07368392606204738,0.8596234404795641
0.07879688682304617,0.8896120590532004
0.08390984758404499,0.9179092190388266
0.08902280834504381,0.9438643594410538
0.0941357691060426,0.9681280412552706
0.09910928548265055,0.9901721884183239
0.10436169062804024,1.0124918145132176
0.10883553129391421,1.0296565298794786
